Id,Nombre,URI_Estacion,COD_VIA,COD_POSTAL,URI_Direccion,Localidad,Region,DIRECCION,Longitud_gms,Latitud_gms,LATITUD_ED50,LONGITUD_ED50,Alt.(m),Fecha alta,Coordenada_X_ETRS89,Coordenada_Y_ETRS89,LONGITUD_WGS84,LATITUD_WGS84
13,Vallecas,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/vallecas,75500,28018,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/vallecas,Madrid,Comunidad de Madrid,Calle Del Arroyo Del Olivar,"3º40'03"" Oº","40º23'50"" N",40.3972222222222,-3.6675,677,36475,"444701,6871","4471043,01",-3.6515286,40.3881478
14,Fernández Ladreda,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/fernández-ladreda,293200,28026,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/fernández-ladreda,Madrid,Comunidad de Madrid,Plaza  Eliptica,"3º43'7,4"" Oº","40º23'5,8"" N",40.3847222222222,-3.71872222222222,605,40169,"438991,9161","4470741,548",-3.7187679,40.3850336
16,Arturo Soria,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/arturo-soria,798700,28027,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/arturo-soria,Madrid,Comunidad de Madrid,Calle Del Vizconde De Los Asilos,"3º38'15"" Oº","40º20'49,56"" N",40.3469444444444,-3.6375,698,36130,"445786,1729","4476796,019",-3.6392422,40.4400457
17,Villaverde,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/villaverde,417200,28021,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/villaverde,Madrid,Comunidad de Madrid,Calle De Juan Peñalver,"3º42'47,98""Oº","40º20'49,6""N",40.3469444444444,-3.71305555555556,601,36130,"439420,7015","4466532,455",-3.7133167,40.347147
18,Farolillo,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/farolillo,1903,28019,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/farolillo,Madrid,Comunidad de Madrid,Calle Del Farolillo,"3º43'48"" Oº","40º23'44"" N",40.3955555555556,-3.73,625,36130,"437891,6961","4471832,769",-3.7318356,40.3947825
19,Alto Extremadura,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/alto-extremadura,367300,28011,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/alto-extremadura,Madrid,Comunidad de Madrid,Calle De La Huerta De Castañeda,"3º44'16"" Oº","40º24'40"" N",40.4111111111111,-3.73777777777778,632,36130,"437050,0926","4473291,752",-3.7418959,40.4078624
20,Avda Moratalaz,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/avda-moratalaz,522000,28030,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/avda-moratalaz,Madrid,Comunidad de Madrid,Avenida De Moratalaz,"3º38'59"" Oº","40º24'25"" N",40.4069444444444,-3.64972222222222,671,36130,"445245,513","4473237,349",-3.6453104,40.4079517
24,Casa de Campo,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/casa-de-campo,905219,28011,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/casa-de-campo,Madrid,Comunidad de Madrid,Carretera Del Teleferico,"3º44'56"" Oº","40º25'18"" N",40.4216666666667,-3.74888888888889,645,36130,"436598,5637","4474571,618",-3.7473445,40.4193577
25,Santa Eugenia,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/santa-eugenia,604750,28031,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/santa-eugenia,Madrid,Comunidad de Madrid,Calle De Poza De La Sal,"3º36' 4"" Oº","40º22'48"" N",40.38,-3.60111111111111,653,36130,"448853,3888","4470003,646",-3.6025322,40.3790498
26,Embajada,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/embajada,729200,28042,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/embajada,Madrid,Comunidad de Madrid,Calle De Soto Hidalgo,"3º34'44""Oº","40º27'37,7""N",40.4602777777778,-3.57888888888889,618,40605,"450804,3","4478900,4",-3.5802389,40.4593153
27,Barajas Pueblo,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/barajas-pueblo,425700,28042,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/barajas-pueblo,Madrid,Comunidad de Madrid,Calle De Jupiter,"3º34'43,8""Oº","40º28'41,2""N",40.4780555555556,-3.57861111111111,627,37400,"450835,2026","4480854,172",-3.5800258,40.4769179
28,Cuatro Vientos,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/cuatro-vientos,84000,28044,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/cuatro-vientos,Madrid,Comunidad de Madrid,Avenida De La Aviacion,"3º46'35,9""Oº","40º22'34,9"" N",40.3761111111111,-3.77638888888889,"677,5",37741,"433968,5179","4469692,276",-3.7778375,40.3751984
29,El Pardo,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/el-pardo,348500,28048,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/el-pardo,Madrid,Comunidad de Madrid,Avenida De La Guardia,"3º46'24,4""Oº","40º31'9,4""N",40.5191666666667,-3.77333333333333,616,37895,"434381,6","4485548,7",-3.7746101,40.5180701
30,Campo de las Naciones,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/campo-de-las-naciones,1111,28042,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/campo-de-las-naciones,Madrid,Comunidad de Madrid,Calle De La Ribera Del Sena,"3º36'54,9""Oº","40º27'42,9""N",40.4616666666667,-3.615,"686,5",37935,"447744,4666","4479077,678",-3.6163407,40.4607255
31,Sanchinarro,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/sanchinarro,31000002,28050,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/sanchinarro,Madrid,Comunidad de Madrid,Calle De La Princesa De Eboli,"3º39'37,82""O","40º29'39,14""N",40.4941666666667,-3.66050555555556,700,40008,"444026,808","4482820,581",-3.6605173,40.4942012
47,Mendez Álvaro,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/mendez-álvaro,414800,28045,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/mendez-álvaro,Madrid,Comunidad de Madrid,Calle De Juan De Mariana,"3º41'12,57''Oº","40º23'53,21''",40.3980555555556,-3.686825,609,40196,"441715,4303","4472170,249",-3.6868138,40.3980991
48,Castellana,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/castellana,401400,28006,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/castellana,Madrid,Comunidad de Madrid,Calle De Jose Gutierrez Abascal,"3°41'25.28""O","40°26'23.44""N",40.4397222222222,-3.69035555555556,685,40302,"441449,6341","4476811,42",-3.6903729,40.4398904
50,Pza de Castilla,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/pza-de-castilla,154500,28046,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/pza-de-castilla,Madrid,Comunidad de Madrid,Plaza De Castilla,"3º41'19""O","40º27'56""N",40.4655555555556,-3.68861111111111,728,40602,"441609,9474","4479662,346",-3.6887449,40.4655841
54,Ensanche de Vallecas,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/ensanche-de-vallecas,31000516,28051,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/ensanche-de-vallecas,Madrid,Comunidad de Madrid,Avenida De La Gavia,"3º36'43,7""Oº","40º27'45,1""N",40.4625,-3.61213888888889,619,40162,"448033,2263","4469339,044",-3.6121394,40.3730118
55,Urb Embajada 2,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/urb-embajada-2,639250,28947,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/urb-embajada-2,Madrid,Comunidad de Madrid,Calle De Riaño,"3º34'50,4""Oº","40º27'45,1""N",40.4625,-3.58066666666667,619,40254,"450778,8839","4479238,863",-3.5805649,40.4623628
86,Tres Olivos,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/tres-olivos,1427,28034,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/tres-olivos,Madrid,Comunidad de Madrid,Plaza De Los Tres Olivos,"3º41'23""Oº",40º30'2''N,40.5005555555556,-3.68972222222222,715,40217,"441556,7005","4483543,994",-3.6897308,40.5005477
