NMT;anio;mes;dia;tipo;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99
2;2020;1;1;E;68,6;77,0;70,3;67,7;64,0;61,3
3;2020;1;1;E;61,2;70,5;62,9;56,2;52,5;50,0
5;2020;1;1;E;60,2;66,2;62,2;58,2;54,3;50,8
6;2020;1;1;E;69,1;74,9;72,5;66,8;62,6;58,4
8;2020;1;1;E;64,7;71,7;68,0;63,1;58,3;51,9
10;2020;1;1;E;63,6;71,8;66,9;60,1;54,6;49,7
11;2020;1;1;E;65,1;71,0;68,5;63,9;57,5;52,8
12;2020;1;1;E;61,7;68,2;62,8;59,4;55,7;52,5
13;2020;1;1;E;56,6;64,1;59,0;54,8;51,9;50,5
14;2020;1;1;E;64,1;72,0;65,1;62,2;58,5;55,3
16;2020;1;1;E;61,1;67,3;64,8;59,2;48,8;43,3
17;2020;1;1;E;75,7;72,9;65,5;55,1;49,0;45,5
18;2020;1;1;E;55,9;63,9;56,7;49,1;44,7;43,2
19;2020;1;1;E;60,6;66,6;61,8;56,3;51,9;48,9
20;2020;1;1;E;61,1;70,1;62,2;56,4;50,5;46,3
24;2020;1;1;E;47,2;54,0;48,5;45,4;43,3;42,2
25;2020;1;1;E;67,3;69,5;68,3;66,6;64,1;61,4
27;2020;1;1;E;62,1;71,9;65,4;56,7;52,8;50,2
28;2020;1;1;E;66,2;74,3;70,4;62,4;52,4;46,3
29;2020;1;1;E;56,2;65,0;60,5;49,8;41,4;36,8
30;2020;1;1;E;57,2;64,1;59,9;55,9;50,2;47,5
31;2020;1;1;E;59,3;70,6;62,1;52,6;49,5;47,8
47;2020;1;1;E;52,4;61,0;52,8;46,6;44,0;42,5
48;2020;1;1;E;61,7;66,0;63,9;61,4;57,4;54,3
50;2020;1;1;E;65,6;71,7;66,1;62,6;59,0;56,4
54;2020;1;1;E;60,7;66,8;62,9;58,7;53,7;49,3
55;2020;1;1;E;55,8;64,3;57,9;51,8;48,4;46,5
86;2020;1;1;E;57,2;65,1;58,2;49,8;43,4;39,4
2;2020;1;1;N;69,4;78,5;71,0;67,3;61,5;57,6
3;2020;1;1;N;66,1;74,7;66,6;60,3;55,3;52,6
5;2020;1;1;N;79,0;82,8;67,6;56,0;48,1;43,6
6;2020;1;1;N;68,9;76,5;72,5;65,8;59,2;53,2
8;2020;1;1;N;64,9;72,2;68,3;63,1;55,9;49,0
10;2020;1;1;N;67,9;73,6;66,7;57,6;48,4;43,8
11;2020;1;1;N;65,8;75,1;68,5;61,4;50,8;42,6
12;2020;1;1;N;65,0;76,9;62,6;57,1;50,2;46,3
13;2020;1;1;N;83,3;96,1;72,3;57,4;51,5;50,2
14;2020;1;1;N;78,3;81,3;68,1;61,2;55,8;52,4
16;2020;1;1;N;62,6;73,3;65,2;57,8;44,2;40,0
17;2020;1;1;N;73,2;84,9;71,4;52,7;45,4;43,6
18;2020;1;1;N;85,8;98,6;71,3;51,5;44,7;43,3
19;2020;1;1;N;72,5;78,7;66,1;55,7;47,9;44,8
20;2020;1;1;N;70,0;83,2;65,8;57,2;52,1;49,4
24;2020;1;1;N;55,1;65,9;59,8;46,7;43,7;42,4
25;2020;1;1;N;68,3;74,9;68,0;63,3;57,5;50,2
26;2020;1;1;N;61,8;70,8;65,6;57,4;50,7;46,7
27;2020;1;1;N;63,0;72,2;62,9;50,9;46,6;44,4
28;2020;1;1;N;69,8;75,5;70,2;59,2;45,1;41,7
29;2020;1;1;N;54,6;65,1;56,0;43,8;35,4;33,2
30;2020;1;1;N;59,1;69,8;62,7;49,5;45,2;42,2
31;2020;1;1;N;65,4;76,1;65,5;52,3;47,1;42,6
47;2020;1;1;N;60,3;72,0;61,2;47,7;43,3;41,9
48;2020;1;1;N;63,2;73,9;63,8;59,6;53,0;49,2
50;2020;1;1;N;66,0;75,5;66,7;61,6;55,0;50,6
54;2020;1;1;N;73,2;87,1;69,5;56,3;47,7;42,5
55;2020;1;1;N;70,1;71,4;59,4;50,4;45,6;42,7
86;2020;1;1;N;67,7;80,6;62,1;46,7;39,8;38,0
2;2020;1;2;T;69,1;75,7;71,3;68,2;60,6;55,1
3;2020;1;2;T;62,9;71,3;66,6;59,5;47,8;45,1
5;2020;1;2;T;60,9;67,2;63,2;58,5;44,6;40,0
6;2020;1;2;T;70,0;76,9;73,8;67,3;57,0;47,5
8;2020;1;2;T;65,3;72,3;68,4;63,7;54,5;45,0
10;2020;1;2;T;64,2;72,8;67,9;60,1;44,5;40,9
11;2020;1;2;T;67,3;74,9;70,2;65,2;47,6;40,5
12;2020;1;2;T;62,0;70,3;63,9;59,7;48,6;39,5
13;2020;1;2;T;57,5;67,3;59,2;53,8;50,2;45,6
14;2020;1;2;T;64,6;72,8;66,9;63,1;53,1;46,9
16;2020;1;2;T;60,9;67,6;64,8;58,9;42,2;37,5
17;2020;1;2;T;57,0;65,7;58,3;52,3;41,9;39,1
18;2020;1;2;T;60,5;65,3;58,7;51,2;43,8;42,8
19;2020;1;2;T;60,3;67,1;62,4;55,8;43,3;37,4
20;2020;1;2;T;58,9;67,2;62,3;56,3;42,1;39,1
24;2020;1;2;T;50,5;57,4;53,4;48,7;41,6;40,2
25;2020;1;2;T;66,5;70,3;68,7;66,8;57,3;46,9
27;2020;1;2;T;61,8;72,4;65,7;54,4;44,6;39,6
28;2020;1;2;T;67,0;75,3;71,7;62,1;41,1;38,1
29;2020;1;2;T;56,3;65,5;60,7;50,1;33,9;32,1
30;2020;1;2;T;58,5;67,3;61,8;56,3;43,8;41,2
31;2020;1;2;T;63,7;73,2;68,8;56,5;44,2;39,6
47;2020;1;2;T;53,0;64,3;54,6;47,8;40,0;37,7
48;2020;1;2;T;62,2;67,7;64,9;61,4;51,0;41,5
50;2020;1;2;T;65,3;71,3;66,8;63,3;53,7;47,3
54;2020;1;2;T;60,5;67,0;63,9;59,4;44,7;40,5
55;2020;1;2;T;55,2;64,0;58,7;51,5;43,8;40,6
86;2020;1;2;T;56,4;66,7;59,9;50,6;37,8;36,2
2;2020;1;2;D;70,1;75,8;71,7;69,2;66,1;63,1
3;2020;1;2;D;64,7;71,8;67,8;62,6;56,9;49,6
5;2020;1;2;D;62,2;68,3;63,8;60,2;56,6;53,2
6;2020;1;2;D;71,5;77,8;74,6;69,3;65,2;61,6
8;2020;1;2;D;66,6;73,0;69,0;64,8;61,6;57,5
10;2020;1;2;D;66,0;73,6;69,3;62,6;57,3;53,3
11;2020;1;2;D;69,1;76,7;71,1;67,6;62,2;56,8
12;2020;1;2;D;63,8;73,4;64,8;61,5;58,1;55,5
13;2020;1;2;D;58,5;69,3;60,3;55,6;51,7;47,3
14;2020;1;2;D;66,3;74,1;68,2;64,7;62,0;59,5
16;2020;1;2;D;62,3;67,8;65,3;61,2;53,0;46,8
17;2020;1;2;D;58,7;66,3;59,3;54,5;50,2;47,4
18;2020;1;2;D;62,8;66,4;59,8;53,7;48,7;46,0
19;2020;1;2;D;61,7;68,0;63,4;57,9;53,2;50,7
20;2020;1;2;D;60,6;68,3;63,3;58,3;54,4;50,8
24;2020;1;2;D;52,5;58,0;54,5;51,0;48,6;46,3
25;2020;1;2;D;67,8;70,7;69,1;67,6;66,1;64,9
27;2020;1;2;D;62,9;72,8;67,4;56,2;47,4;43,6
28;2020;1;2;D;68,7;75,8;72,8;66,1;56,8;50,7
29;2020;1;2;D;58,3;66,3;62,1;54,0;47,3;43,2
30;2020;1;2;D;59,9;66,6;62,6;58,4;54,2;51,3
31;2020;1;2;D;65,0;73,7;69,7;59,6;53,2;49,5
47;2020;1;2;D;54,7;65,4;55,9;49,9;46,4;44,6
48;2020;1;2;D;63,2;68,0;65,5;62,8;58,1;54,1
50;2020;1;2;D;66,1;70,8;67,2;64,4;61,3;59,0
54;2020;1;2;D;61,8;67,4;64,5;60,9;57,2;54,0
55;2020;1;2;D;56,7;64,6;60,1;53,3;48,6;45,7
86;2020;1;2;D;57,8;67,5;61,4;54,0;47,3;43,8
2;2020;1;2;E;70,3;78,5;71,4;68,8;65,7;62,8
3;2020;1;2;E;62,1;70,9;64,7;59,5;55,2;51,6
5;2020;1;2;E;62,7;67,9;64,0;60,0;55,9;52,0
6;2020;1;2;E;70,8;76,9;73,9;68,4;64,3;60,4
8;2020;1;2;E;65,9;72,3;68,6;64,5;61,2;57,1
10;2020;1;2;E;64,3;72,3;68,0;61,6;56,0;51,3
11;2020;1;2;E;67,0;73,3;69,6;66,1;60,4;55,1
12;2020;1;2;E;61,7;67,8;63,5;60,4;56,7;53,7
13;2020;1;2;E;57,5;64,4;59,4;54,7;49,6;45,7
14;2020;1;2;E;64,2;70,1;66,2;63,3;60,0;56,9
16;2020;1;2;E;61,7;67,8;65,2;60,5;50,7;44,5
17;2020;1;2;E;56,9;63,8;58,3;53,1;48,1;45,8
18;2020;1;2;E;59,1;65,9;59,7;53,4;46,5;44,2
19;2020;1;2;E;62,0;67,5;62,7;57,4;53,0;49,5
20;2020;1;2;E;59,4;67,0;62,7;57,5;52,4;48,2
24;2020;1;2;E;49,5;56,5;50,4;45,9;44,1;43,1
25;2020;1;2;E;67,3;70,2;68,6;67,1;65,5;63,7
27;2020;1;2;E;63,3;73,0;66,2;56,8;52,7;50,3
28;2020;1;2;E;67,4;75,0;71,6;64,0;54,1;48,0
29;2020;1;2;E;55,1;64,5;59,7;50,0;42,9;38,4
30;2020;1;2;E;60,2;69,5;62,7;57,5;52,9;50,0
31;2020;1;2;E;66,0;73,8;70,3;62,4;53,1;47,9
47;2020;1;2;E;53,0;65,5;54,5;48,0;45,3;44,1
48;2020;1;2;E;64,3;68,9;65,7;62,8;58,1;54,4
50;2020;1;2;E;66,3;74,0;67,5;64,4;60,8;58,0
54;2020;1;2;E;62,3;67,6;64,7;61,3;57,2;51,9
55;2020;1;2;E;55,8;64,0;58,8;52,8;49,2;46,8
86;2020;1;2;E;58,2;66,8;60,5;52,6;47,3;43,3
2;2020;1;2;N;65,7;72,6;69,1;63,1;57,1;53,2
3;2020;1;2;N;56,5;68,0;58,6;49,8;46,1;44,5
5;2020;1;2;N;53,0;62,0;57,1;48,6;41,0;39,3
6;2020;1;2;N;64,9;73,6;68,8;60,6;51,8;45,8
8;2020;1;2;N;61,5;70,5;65,3;58,2;48,8;43,5
10;2020;1;2;N;57,1;68,8;60,1;48,7;41,7;40,3
11;2020;1;2;N;60,0;69,7;64,5;52,9;42,2;39,7
12;2020;1;2;N;55,3;63,8;58,9;52,2;43,0;37,7
13;2020;1;2;N;53,8;61,8;55,0;51,2;50,2;49,8
14;2020;1;2;N;59,7;66,9;62,4;56,1;49,2;45,4
16;2020;1;2;N;56,2;65,8;61,2;47,7;38,9;37,0
17;2020;1;2;N;51,0;61,4;52,7;44,6;40,0;38,4
18;2020;1;2;N;48,7;59,1;51,2;44,7;43,2;42,2
19;2020;1;2;N;53,3;63,8;57,1;46,9;39,5;36,3
20;2020;1;2;N;53,2;63,2;55,2;45,0;39,7;38,6
24;2020;1;2;N;45,0;53,7;47,9;42,6;40,7;40,1
25;2020;1;2;N;61,9;68,1;65,7;60,4;51,1;44,4
27;2020;1;2;N;57,3;70,2;58,4;48,9;41,5;38,6
28;2020;1;2;N;60,5;72,4;63,8;46,1;38,8;37,7
29;2020;1;2;N;49,1;62,1;50,7;36,5;32,5;31,5
30;2020;1;2;N;51,5;61,7;55,0;45,8;42,0;40,6
31;2020;1;2;N;52,9;64,9;54,2;46,8;41,1;39,0
47;2020;1;2;N;48,1;59,4;47,7;42,3;38,6;37,2
48;2020;1;2;N;56,9;63,9;60,9;54,6;45,0;39,7
50;2020;1;2;N;62,9;71,0;63,8;57,1;49,5;46,1
54;2020;1;2;N;54,0;64,0;58,1;47,8;42,1;39,7
55;2020;1;2;N;50,6;61,0;52,5;46,4;41,5;40,2
86;2020;1;2;N;48,4;61,2;48,9;38,8;36,7;36,1
2;2020;1;3;T;69,5;75,0;71,6;68,5;61,9;56,4
3;2020;1;3;T;64,5;70,8;65,8;59,2;50,7;46,9
5;2020;1;3;T;66,0;69,9;64,1;59,1;46,2;41,6
6;2020;1;3;T;70,8;77,4;74,3;68,1;60,7;52,0
8;2020;1;3;T;65,8;72,5;68,9;64,3;57,4;49,3
10;2020;1;3;T;64,7;73,0;68,3;60,6;48,9;42,3
11;2020;1;3;T;67,3;73,9;70,2;65,4;51,7;40,6
12;2020;1;3;T;62,2;70,1;64,0;59,9;51,3;42,8
13;2020;1;3;T;55,5;63,8;58,6;52,9;41,0;37,4
14;2020;1;3;T;63,6;70,6;65,9;62,6;54,7;48,0
16;2020;1;3;T;61,4;67,9;65,1;59,5;42,3;37,4
17;2020;1;3;T;57,4;68,3;59,9;52,0;40,8;38,3
18;2020;1;3;T;60,7;65,0;58,2;50,1;41,8;40,2
19;2020;1;3;T;59,8;68,2;63,1;56,2;44,8;38,4
20;2020;1;3;T;61,6;72,4;63,8;56,9;43,6;38,8
24;2020;1;3;T;48,6;56,7;51,8;46,4;41,9;40,4
25;2020;1;3;T;66,7;70,4;68,9;67,0;59,2;50,4
27;2020;1;3;T;61,8;72,8;66,2;52,6;45,2;39,7
28;2020;1;3;T;67,3;75,6;71,8;61,8;43,4;39,3
29;2020;1;3;T;57,6;67,0;62,2;50,7;35,8;32,7
30;2020;1;3;T;59,5;67,5;61,9;56,2;46,4;42,3
31;2020;1;3;T;64,3;73,8;69,5;55,3;45,5;41,0
47;2020;1;3;T;53,0;65,2;54,6;47,0;40,5;38,4
48;2020;1;3;T;62,5;68,0;65,4;61,4;54,2;46,8
50;2020;1;3;T;65,1;70,8;67,2;63,6;55,5;49,1
54;2020;1;3;T;60,8;67,4;64,3;59,6;43,8;40,5
55;2020;1;3;T;55,2;64,3;58,8;50,8;44,1;41,2
86;2020;1;3;T;56,2;66,4;60,0;50,4;38,6;36,9
2;2020;1;3;D;70,5;75,7;72,0;69,6;66,0;63,1
3;2020;1;3;D;66,1;71,5;66,9;62,1;56,3;49,2
5;2020;1;3;D;62,0;68,7;64,3;60,5;56,7;53,1
6;2020;1;3;D;72,1;77,9;75,0;70,0;65,7;62,3
8;2020;1;3;D;66,9;73,1;69,6;65,3;62,2;58,2
10;2020;1;3;D;66,5;73,8;69,7;63,0;57,6;53,6
11;2020;1;3;D;68,9;75,0;71,0;67,5;61,7;55,4
12;2020;1;3;D;63,7;71,3;64,8;61,6;58,1;55,2
13;2020;1;3;D;56,8;64,8;59,4;54,6;49,2;43,7
14;2020;1;3;D;64,9;71,9;66,6;63,7;61,1;58,8
16;2020;1;3;D;62,9;68,4;65,8;61,9;53,8;45,8
17;2020;1;3;D;56,3;64,8;59,5;53,7;47,3;42,3
18;2020;1;3;D;63,4;66,7;59,6;52,9;45,6;42,0
19;2020;1;3;D;61,5;69,5;64,2;58,7;53,5;50,5
20;2020;1;3;D;63,7;74,8;65,6;59,0;54,7;50,0
24;2020;1;3;D;50,2;57,7;53,0;48,3;45,1;42,0
25;2020;1;3;D;68,1;70,7;69,4;67,9;66,3;64,9
27;2020;1;3;D;63,4;73,5;68,0;54,8;48,0;44,6
28;2020;1;3;D;69,0;76,2;72,8;65,8;55,9;49,1
29;2020;1;3;D;59,7;67,9;63,9;55,5;48,0;43,5
30;2020;1;3;D;61,0;69,8;62,9;58,7;54,0;50,7
31;2020;1;3;D;66,1;74,5;70,8;61,2;51,7;49,2
47;2020;1;3;D;54,2;65,6;56,0;50,0;45,6;43,4
48;2020;1;3;D;63,9;68,7;66,3;63,0;57,7;54,2
50;2020;1;3;D;66,3;71,6;67,8;65,0;61,8;59,1
54;2020;1;3;D;62,2;67,8;64,9;61,4;56,8;51,5
55;2020;1;3;D;56,5;65,0;60,1;52,6;48,4;45,6
86;2020;1;3;D;57,6;67,2;61,4;54,1;46,2;41,6
2;2020;1;3;E;69,8;75,3;71,4;69,0;65,7;63,1
3;2020;1;3;E;61,0;68,5;63,4;59,1;55,6;52,6
5;2020;1;3;E;72,7;88,3;66,9;61,5;57,5;54,1
6;2020;1;3;E;71,4;78,0;74,5;69,6;65,6;62,4
8;2020;1;3;E;65,8;72,0;68,7;64,5;61,2;58,4
10;2020;1;3;E;64,5;72,6;68,3;61,8;56,0;51,5
11;2020;1;3;E;67,4;73,7;69,7;66,4;61,0;55,9
12;2020;1;3;E;62,8;71,1;63,7;60,6;57,3;54,6
13;2020;1;3;E;56,4;63,7;58,9;54,8;50,9;47,3
14;2020;1;3;E;64,1;69,9;65,9;63,3;60,5;57,8
16;2020;1;3;E;61,7;67,7;64,8;60,6;51,8;46,0
17;2020;1;3;E;62,7;74,0;65,8;57,4;50,5;47,3
18;2020;1;3;E;56,4;64,2;58,4;52,5;47,2;45,0
19;2020;1;3;E;60,2;68,0;63,1;57,3;52,2;49,1
20;2020;1;3;E;60,6;68,8;63,5;57,9;53,2;50,5
24;2020;1;3;E;48,0;55,8;51,4;45,6;42,7;42,0
25;2020;1;3;E;67,2;69,9;68,6;67,1;65,3;63,1
27;2020;1;3;E;61,6;72,1;66,0;53,5;48,8;45,4
28;2020;1;3;E;67,7;75,3;71,8;63,9;53,9;47,0
29;2020;1;3;E;57,0;65,4;59,9;48,8;40,6;36,3
30;2020;1;3;E;58,6;66,2;61,4;55,7;49,4;46,0
31;2020;1;3;E;65,4;73,3;69,8;61,7;52,3;49,2
47;2020;1;3;E;54,3;67,5;54,5;46,7;43,8;42,2
48;2020;1;3;E;62,4;67,0;64,9;62,1;57,1;53,0
50;2020;1;3;E;66,4;71,0;67,2;64,4;61,0;58,6
54;2020;1;3;E;62,2;67,7;64,7;61,2;56,5;51,7
55;2020;1;3;E;55,8;63,9;58,5;51,4;47,0;45,0
86;2020;1;3;E;56,5;66,0;60,4;52,2;45,6;43,2
2;2020;1;3;N;66,9;73,5;69,7;64,6;58,7;55,2
3;2020;1;3;N;62,7;69,3;60,5;53,4;48,4;46,0
5;2020;1;3;N;55,1;63,6;57,8;49,5;43,0;41,1
6;2020;1;3;N;66,6;74,1;70,2;63,5;55,8;49,5
8;2020;1;3;N;63,3;71,3;67,0;60,8;52,9;47,2
10;2020;1;3;N;58,3;69,0;61,8;52,4;44,5;41,4
11;2020;1;3;N;62,5;70,2;65,9;56,6;44,5;38,8
12;2020;1;3;N;56,5;64,4;59,9;54,1;46,8;40,2
13;2020;1;3;N;53,3;59,2;53,4;43,8;38,4;37,0
14;2020;1;3;N;59,6;66,8;62,9;57,3;50,5;46,3
16;2020;1;3;N;56,7;66,1;61,5;49,4;38,6;37,0
17;2020;1;3;N;48,6;58,3;52,4;43,5;39,1;38,0
18;2020;1;3;N;48,7;58,7;50,9;42,9;40,9;40,0
19;2020;1;3;N;53,6;63,8;57,5;48,4;40,9;37,1
20;2020;1;3;N;54,5;65,4;56,8;47,5;39,7;38,2
24;2020;1;3;N;44,8;53,2;47,2;43,0;41,1;40,1
25;2020;1;3;N;62,7;68,0;66,0;61,8;54,7;48,3
27;2020;1;3;N;57,7;70,6;58,8;49,5;41,9;38,6
28;2020;1;3;N;61,1;72,5;64,9;48,7;40,4;38,7
29;2020;1;3;N;50,6;63,4;53,1;39,5;33,6;32,2
30;2020;1;3;N;56,0;64,6;57,4;49,2;43,6;41,5
31;2020;1;3;N;54,1;66,9;52,9;47,6;42,5;40,1
47;2020;1;3;N;48,5;61,0;47,5;42,2;39,2;38,1
48;2020;1;3;N;58,8;64,8;62,3;57,6;50,3;44,3
50;2020;1;3;N;60,5;67,3;63,8;58,3;51,5;47,6
54;2020;1;3;N;54,2;64,3;58,5;47,6;41,4;40,1
55;2020;1;3;N;50,7;60,9;53,1;46,3;42,0;40,6
86;2020;1;3;N;51,7;63,3;51,7;39,8;37,4;36,3
2;2020;1;4;T;69,0;75,0;70,6;67,4;62,1;57,7
3;2020;1;4;T;61,5;70,0;63,6;58,0;52,0;47,5
5;2020;1;4;T;59,6;66,3;62,8;58,0;48,9;44,2
6;2020;1;4;T;69,7;76,4;73,2;67,1;61,1;54,8
8;2020;1;4;T;65,2;72,0;67,8;63,0;56,9;48,7
10;2020;1;4;T;63,2;72,1;66,9;58,6;49,0;43,3
11;2020;1;4;T;65,8;71,9;69,1;63,8;53,5;46,0
12;2020;1;4;T;61,4;68,9;63,1;58,8;52,3;46,3
13;2020;1;4;T;55,6;65,5;58,3;52,6;46,9;44,7
14;2020;1;4;T;62,8;69,1;65,0;61,7;55,4;50,1
16;2020;1;4;T;60,2;67,2;64,0;57,7;44,8;40,2
17;2020;1;4;T;55,4;63,7;58,4;52,5;46,7;44,6
18;2020;1;4;T;65,2;70,7;61,4;52,2;44,4;42,3
19;2020;1;4;T;58,5;66,4;61,9;55,2;46,5;40,9
20;2020;1;4;T;62,1;73,8;63,6;56,2;46,6;43,2
24;2020;1;4;T;48,4;55,7;51,1;46,6;42,7;41,2
25;2020;1;4;T;66,4;70,1;68,6;66,4;60,4;53,7
27;2020;1;4;T;62,4;72,8;65,8;57,2;48,3;42,8
28;2020;1;4;T;66,5;75,0;71,0;61,0;43,7;39,3
29;2020;1;4;T;55,2;64,9;59,8;49,0;36,5;32,7
30;2020;1;4;T;56,5;64,6;59,9;53,3;46,0;43,3
31;2020;1;4;T;64,0;73,5;69,2;56,3;47,9;44,5
47;2020;1;4;T;53,1;65,0;54,8;47,0;42,7;40,8
48;2020;1;4;T;61,4;66,9;63,8;60,7;54,5;49,1
50;2020;1;4;T;64,2;70,0;66,1;62,2;56,5;52,0
54;2020;1;4;T;60,7;67,6;64,0;59,2;49,1;45,9
55;2020;1;4;T;56,4;64,6;59,3;53,9;49,5;46,2
86;2020;1;4;T;56,5;66,0;58,9;49,3;41,0;38,7
2;2020;1;4;D;69,4;75,8;70,9;68,0;63,2;59,3
3;2020;1;4;D;62,3;70,5;64,3;58,6;52,2;46,9
5;2020;1;4;D;60,9;66,7;63,4;59,4;54,9;48,9
6;2020;1;4;D;70,3;76,9;73,6;67,7;62,3;55,5
8;2020;1;4;D;65,4;72,5;68,0;63,5;58,9;50,8
10;2020;1;4;D;64,4;72,8;67,9;60,2;53,0;46,9
11;2020;1;4;D;66,5;72,3;69,6;65,3;57,8;51,0
12;2020;1;4;D;62,3;70,2;63,8;60,1;55,6;51,0
13;2020;1;4;D;56,8;66,7;59,3;54,2;49,4;46,3
14;2020;1;4;D;63,3;69,2;65,2;62,4;59,0;55,0
16;2020;1;4;D;61,2;67,7;64,6;59,4;49,7;45,1
17;2020;1;4;D;56,9;64,7;59,4;55,0;50,4;47,9
18;2020;1;4;D;58,1;68,3;60,6;53,9;47,3;45,3
19;2020;1;4;D;59,6;66,8;62,4;56,7;50,9;47,0
20;2020;1;4;D;61,0;70,1;64,2;58,1;52,3;47,1
24;2020;1;4;D;50,1;57,2;52,3;48,4;45,5;43,7
25;2020;1;4;D;67,5;70,4;68,9;67,4;64,9;61,3
27;2020;1;4;D;63,7;73,5;67,3;59,0;54,2;50,5
28;2020;1;4;D;68,1;75,7;72,3;64,6;53,2;45,0
29;2020;1;4;D;56,7;65,4;61,0;52,3;44,5;37,4
30;2020;1;4;D;57,9;65,0;60,9;55,8;50,6;47,5
31;2020;1;4;D;65,5;73,9;70,3;59,9;52,5;48,6
47;2020;1;4;D;54,3;65,8;55,7;49,0;45,1;42,6
48;2020;1;4;D;62,0;67,8;64,1;61,4;55,8;50,4
50;2020;1;4;D;64,9;70,0;66,4;63,0;58,9;55,6
54;2020;1;4;D;61,8;67,8;64,6;60,8;54,3;49,7
55;2020;1;4;D;57,2;64,8;59,9;54,7;51,2;48,8
86;2020;1;4;D;56,5;66,7;60,2;51,8;45,5;42,7
2;2020;1;4;E;70,2;76,5;70,8;68,3;64,9;62,3
3;2020;1;4;E;61,8;69,1;63,6;59,6;56,2;53,6
5;2020;1;4;E;61,0;67,2;63,6;59,9;56,1;53,2
